height, period, average_height, average_period, estimated_period, ex_size, mean_weight_vel, acc_std_dev
0.4, 3, 0.3759307962664625, 3.01925, 2.9892830188679245, 29, 0.05, 0.8301236429915874
0.6, 4, 0.5611192987394039, 3.979555555555555, 4.02435, 40, 0.04, 0.6552705198755824
0.8, 4, 0.7684993186912948, 3.940555555555556, 3.9613000000000005, 39, 0.04, 0.8981091525256257
1.0, 5, 0.9841054413048557, 4.973714285714286, 4.998, 49, 0.03, 0.6882112653432155
1.2, 5, 1.163623091953259, 5.021357142857142, 4.946545454545454, 49, 0.03, 0.7848937384742435
1.4, 6, 1.351736337691063, 6.060181818181818, 6.102923076923077, 61, 0.03, 0.623860007691051
1.6, 6, 1.5654663282351458, 6.081363636363636, 5.876592592592593, 58, 0.03, 0.7499804900591178
1.8, 7, 1.7189577042232804, 6.831, 6.220076923076923, 62, 0.03, 0.7592144957326352
