15959,(0.4591125, 0.04516868, 0.9346931),-2.523495,179.6083
15979,(0.3810258, 0.0271601, 0.9107937),-2.230445,-178.0432
15999,(0.2929654, -0.009343776, 0.8871334),-1.89532,-175.2548
16019,(0.2105, 0.02375307, 0.8649069),-1.52054,-172.179
16039,(0.1701187, 0.006961289, 0.8431584),-1.093691,-168.9032
16059,(0.02099979, -0.02637892, 0.8309697),-0.7014497,-165.5076
16079,(-0.04881606, 0.03275737, 0.7869949),-0.3355682,-162.1341
16099,(-0.148553, 0.01912925, 0.779108),0.09719534,-158.6857
16119,(-0.2327213, -0.0390336, 0.7630954),0.4768227,-155.5349
16139,(-0.2855088, -0.04073711, 0.7169696),0.7918122,-152.557
16159,(-0.3268632, 0.002824183, 0.661762),1.149838,-149.8989
16179,(-0.5667184, -0.09135582, 0.6584161),1.387239,-147.6425
16199,(-0.5740162, -0.1130148, 0.7081268),1.616118,-145.8371
16219,(-0.5990721, -0.09719645, 0.6918752),1.750079,-144.5251
16239,(-0.591531, -0.07845778, 0.7066929),1.804022,-143.7527
16259,(-0.5842332, -0.05387851, 0.6737117),1.78535,-143.5438
16279,(-0.6370208, -0.04998477, 0.6749067),1.707265,-143.9177
16299,(-0.6506433, -0.07578083, 0.6426425),1.560531,-144.9006
16319,(-0.6511299, -0.07383395, 0.6397746),1.365672,-146.4493
16339,(-0.6686447, -0.06531639, 0.6309318),1.09434,-148.6725
16359,(-0.6455349, -0.07067029, 0.6433595),0.749539,-151.5462
16379,(-0.5864225, -0.02637892, 0.6698878),0.3344668,-154.9767
16399,(-0.5584476, -0.005936747, 0.702391),-0.1158738,-158.9711
16419,(-0.5107684, -0.05801561, 0.704781),-0.5729868,-163.3804
16439,(-0.4273299, -0.08308161, 0.741347),-1.113231,-168.2807
16459,(-0.2981584, -0.04633437, 0.7683534),-1.754668,-173.3243
16479,(-0.1826095, -0.01421096, 0.8230829),-2.397823,-178.0933
16499,(0.1066276, -0.01980822, 0.8331207),-3.056717,176.9132
16519,(0.1873902, 0.006961289, 0.824278),-3.675609,171.9239
16539,(0.3630245, 0.005257775, 0.8677749),-4.244916,166.8458
16559,(0.5016832, -0.01834807, 0.8402905),-4.704786,162.2941
16579,(0.6615055, 0.1038182, 0.8500893),-5.154335,158.3315
16599,(0.7656212, 0.09019013, 0.8326427),-5.450111,155.0022
16619,(0.8186521, 0.09408388, 0.7678753),-5.699695,152.5505
16639,(0.8366533, 0.06634093, 0.7771961),-5.870094,151.0402
16659,(0.826193, 0.1179331, 0.7532967),-5.933236,150.4258
16679,(0.8967388, 0.1099022, 0.7666803),-5.87629,150.7505
16699,(0.8682773, 0.1437292, 0.7547307),-5.736425,152.065
16719,(0.8519788, 0.07875226, 0.779108),-5.511884,154.1607
16739,(0.8067323, 0.08313272, 0.7891459),-5.269572,157.2523
16759,(0.7527284, 0.1274241, 0.7716992),-4.847768,161.0576
16779,(0.6418014, 0.0497925, 0.7755231),-4.317712,165.6379
16799,(0.553741, 0.09992451, 0.8467434),-3.7069,170.5685
16819,(0.3644841, 0.008664804, 0.8197371),-2.987963,175.3942
16839,(0.1423869, 0.02010269, 0.8849824),-2.235255,-179.7288
16859,(-0.02278715, -0.02686564, 0.8436364),-1.468306,-174.7264
16879,(-0.2025569, 0.0003905914, 0.8077873),-0.7476065,-169.8231
16899,(-0.3254036, -0.02370197, 0.8245169),0.01062222,-164.6845
16919,(-0.2173958, 0.1264506, 0.7650074),0.672921,-159.8077
16939,(-0.5890984, -0.09135582, 0.7587935),1.243133,-155.0567
16959,(-0.7615703, -0.07943122, 0.7544917),1.741273,-150.9285
16979,(-0.7798148, -0.1008468, 0.6913972),2.143675,-147.524
16999,(-0.8155743, -0.06774998, 0.6813595),2.442104,-144.9651
17019,(-0.8158175, -0.0855152, 0.70263),2.641845,-143.2863
17039,(-0.8561988, -0.123966, 0.7150577),2.69869,-142.4822
17059,(-0.9250416, -0.08162146, 0.7107558),2.715766,-142.5479
17079,(-0.8936609, -0.1161785, 0.7253344),2.609308,-143.5079
17099,(-0.8457385, -0.1147183, 0.7162526),2.418285,-145.3325
17119,(-0.8369812, -0.08356833, 0.7394351),2.126703,-148.0047
17139,(-0.805114, -0.09719645, 0.7564036),1.722147,-151.391
17159,(-0.6864027, -0.09549293, 0.7869949),1.245744,-155.4904
17179,(-0.525364, -0.03586993, 0.8070704),0.6611087,-160.2319
17199,(-0.3572708, -0.002529719, 0.8782906),0.02973693,-165.266
17219,(-0.1534182, -0.02662228, 0.900756),-0.616509,-170.178
17239,(-0.008434765, -0.05485194, 0.9325422),-1.291283,-175.2417
17259,(0.2411508, 0.01158512, 0.9127057),-1.983353,179.7051
17279,(0.317778, 0.02229292, 0.8775736),-2.563573,174.7922
17299,(0.5031427, -0.01323752, 0.8759007),-3.092472,170.265
17319,(0.677804, 0.1018714, 0.9626554),-3.567338,166.3308
17339,(0.6021499, 0.06390734, 0.9062529),-3.887539,163.09
17359,(0.6247731, 0.1018714, 0.8558251),-4.140241,160.4722
17379,(0.7245101, 0.09140694, 0.8880893),-4.312549,158.6308
17399,(0.7697566, 0.06974796, 0.8759007),-4.438733,157.602
17419,(0.7697566, 0.1145261, 0.8837873),-4.514429,157.4275
17439,(0.7293753, 0.1125792, 0.8486553),-4.452686,158.0303
17459,(0.7147797, 0.07558858, 0.8653849),-4.273491,159.4238
17479,(0.6972649, 0.07996905, 0.8699258),-4.057315,161.587
17499,(0.6532347, 0.08045577, 0.8663408),-3.733579,164.482
17519,(0.5846352, 0.07485851, 0.8907183),-3.317409,168.078
17539,(0.50144, 0.05392962, 0.8856994),-2.84705,172.159
17559,(0.3678897, 0.05392962, 0.8904793),-2.298964,176.7123
17579,(0.2010128, 0.04200501, 0.901234),-1.672694,-178.4406
17599,(0.0445961, 0.001850747, 0.9387561),-1.035073,-173.4522
17619,(-0.1286056, -0.02199846, 0.8727937),-0.3927855,-168.4247
17639,(-0.2830762, -0.01129065, 0.8914352),0.1939782,-163.5597
17659,(-0.3193221, -0.02102502, 0.817586),0.8085197,-158.9897
17679,(-0.502984, 0.02667338, 0.8474604),1.365698,-154.7545
17699,(-0.5912877, -0.1047406, 0.8369446),1.727951,-151.0675
17719,(-0.6669418, -0.06653318, 0.8730327),2.100145,-148.1108
