3832592,(-0.02157085, -0.02832579, 1.052039),-1.380298,-175.4734
3832612,(-0.02911193, 0.001364028, 1.004957),-1.362423,-175.213
3832632,(-0.02084107, 0.01012496, 1.006869),-1.306123,-174.8372
3832652,(-0.02230063, 0.01182847, 0.9925297),-1.219603,-174.527
3832672,(-0.00965107, -0.003746515, 1.021448),-1.140277,-174.3387
3832692,(-0.01281346, 0.02521323, 1.029574),-1.046223,-174.1657
3832712,(-0.01621911, 0.01937261, 1.022882),-0.9405018,-174.0777
3832732,(0.01516154, -0.01275081, 1.022404),-0.8322893,-174.2412
3832752,(-0.02911193, -0.005450029, 1.01141),-0.8779572,-174.5266
3832772,(-0.02765237, -0.06336951, 1.035549),-0.9301673,-174.6289
3832792,(-0.01548933, 0.03884134, 1.040568),-1.122442,-174.6241
3832812,(0.009809797, 0.0617171, 1.006869),-1.270318,-174.7361
3832832,(-0.02692259, 0.01718237, 1.013083),-1.288631,-175.0227
3832852,(-0.03835585, -0.04292735, 1.084542),-1.37127,-175.2202
3832872,(-0.0833591, -0.03562657, 1.029813),-1.412581,-175.0743
3832892,(-0.06730389, -0.004963311, 1.031964),-1.416913,-174.6978
3832912,(-0.06779041, 0.006961289, 1.015473),-1.398404,-174.3266
3832932,(-0.07338541, 0.03543431, 0.9934856),-1.285388,-174.0783
3832952,(-0.09114346, 0.01912925, 0.9977876),-1.140827,-173.7844
3832972,(-0.08360236, -0.004233233, 1.018102),-1.077302,-173.4318
3832992,(-0.0641415, 0.0390847, 1.003762),-1.072261,-173.1711
3833012,(-0.06633084, 0.03738119, 0.9848819),-1.027722,-173.1261
3833032,(-0.08043998, 0.01426207, 1.022404),-0.9507857,-173.1077
3833052,(-0.06949324, 0.007204649, 1.029096),-0.8794415,-173.0468
3833072,(-0.05441106, 0.00379762, 1.0138),-0.9038893,-173.087
3833092,(-0.03008498, 0.03470424, 1.030052),-0.8576229,-173.4134
3833112,(-0.03811258, 0.009881599, 1.023838),-0.6134983,-174.0119
3833132,(-0.0597628, -0.04195391, 1.022643),-0.3549523,-174.5115
3833152,(-0.05173519, -0.04414414, 1.057058),-0.1135402,-174.855
3833172,(-0.04005867, -0.006423466, 1.056102),0.1534298,-175.1754
3833192,(-0.05027563, 0.01036832, 1.04224),0.6280289,-175.5113
3833212,(-0.01840846, -0.03221954, 1.045347),1.31698,-176.0095
3833232,(-0.01840846, -0.06604647, 1.043196),2.088675,-176.5972
3833252,(-0.006975201, -0.05728554, 0.9977876),2.635034,-176.9869
3833272,(-0.007218462, -0.03684337, 1.042479),3.126307,-177.2581
3833292,(-0.01111063, -0.03684337, 1.051561),3.776241,-177.4692
3833312,(-0.000650419, -0.1086343, 1.047498),4.654784,-177.7604
3833332,(0.03024371, -0.123966, 0.9552466),5.255174,-178.2469
3833352,(0.05919175, -0.08405504, 1.003045),5.647466,-178.9641
3833372,(0.04386631, -0.08064802, 0.9805799),6.057308,-179.766
3833392,(0.06211088, -0.1210456, 0.9942027),6.52441,179.3895
