3607348,(-0.1616891, 0.1184198, 0.9710202),-7.108588,-167.625
3607368,(-0.09552214, 0.1904541, 0.9060139),-7.271295,-168.4697
3607388,(-0.05684367, 0.1498131, 0.8943031),-7.32304,-169.0234
3607408,(-0.109388, 0.1047917, 0.9378),-7.391338,-169.5261
3607428,(-0.09162997, 0.1502998, 0.9291963),-7.551098,-170.1758
3607448,(-0.03689628, 0.2001885, 0.938039),-7.570588,-170.8241
3607468,(-0.009407808, 0.1434858, 0.9597875),-7.556421,-171.4771
3607488,(-0.08311584, 0.1561405, 0.9387561),-7.620384,-172.2919
3607508,(-0.04614019, 0.2011619, 0.9017119),-7.707382,-172.9982
3607528,(0.04046066, 0.2135732, 0.8813974),-7.785005,-173.2629
3607548,(-0.04468063, 0.1568705, 0.9217875),-7.687196,-173.3413
3607568,(-0.07557476, 0.1386186, 0.9573976),-7.557292,-173.4981
3607588,(-0.1076852, 0.1485963, 0.9351711),-7.537399,-173.7305
3607608,(-0.04492389, 0.1607643, 0.9334982),-7.511781,-173.8058
3607628,(-0.09552214, 0.1203667, 0.9435359),-7.466448,-173.7773
3607648,(-0.1483097, 0.1254772, 0.9758001),-7.309569,-173.9419
3607668,(-0.1025767, 0.1286409, 0.982253),-7.163686,-174.2525
3607688,(-0.08530519, 0.1356983, 0.9667183),-7.089024,-174.3556
3607708,(-0.0933328, 0.1369151, 0.9987435),-7.107836,-174.2468
3607728,(-0.06827693, 0.148353, 1.008781),-7.164596,-174.3531
3607748,(-0.01524607, 0.163928, 0.9848819),-7.063888,-174.549
3607768,(-0.1003874, 0.1230436, 0.9564416),-6.669647,-174.622
3607788,(-0.175555, 0.08045577, 1.019297),-6.179511,-174.6516
3607808,(-0.1667976, 0.09943779, 0.9987435),-5.969502,-174.7428
3607828,(-0.1115774, 0.1281542, 0.9583535),-5.834891,-174.9404
3607848,(-0.06706062, 0.1167163, 0.979146),-5.569118,-174.957
3607868,(-0.08481867, 0.0653675, 1.037222),-5.237004,-174.973
3607888,(-0.1509856, 0.07169484, 1.028618),-5.028762,-175.0341
3607908,(-0.1733656, 0.09943779, 1.006152),-4.986778,-175.1218
3607928,(-0.1444176, 0.07704874, 0.9841649),-4.965286,-175.3192
3607948,(-0.07143932, 0.1038182, 0.9832088),-5.020558,-175.5686
3607968,(-0.07411519, 0.1023581, 0.9726933),-4.995505,-175.7447
3607988,(-0.1098745, 0.09384052, 0.9820139),-4.893885,-175.8397
3608008,(-0.09381932, 0.08726983, 0.9681522),-4.932997,-176.0524
3608028,(-0.1349304, 0.1245038, 0.9430579),-5.009888,-176.4194
3608048,(-0.1804202, 0.1712287, 0.9093597),-4.927314,-176.9672
3608068,(-0.09965758, 0.138862, 0.900039),-4.732709,-177.5348
3608088,(-0.04808628, 0.1335081, 0.9382781),-4.606988,-178.0206
3608108,(-0.01500281, 0.1534635, 0.9526177),-4.548345,-178.4992
3608128,(-0.01086737, 0.1634412, 0.9076868),-4.419304,-178.8779
3608148,(-0.02448998, 0.132778, 0.900756),-4.026597,-179.2626
3608168,(-0.1033065, 0.1184198, 0.9129447),-3.536313,-179.6156
3608188,(-0.1492828, 0.09359716, 0.9519007),-3.054643,179.8575
3608208,(-0.1033065, 0.07802217, 0.9239384),-2.822942,179.1621
3608228,(-0.01792194, 0.04662884, 0.9671964),-2.52086,178.5038
3608248,(-0.02959846, 0.008178086, 0.980102),-2.206571,177.758
3608268,(-0.02132759, 0.03202729, 0.9284793),-2.108583,176.9146
3608288,(0.0346224, 0.07047805, 0.8914352),-2.051996,176.2205
3608308,(0.07476043, 0.0653675, 0.9081648),-1.841838,175.7225
3608328,(0.06113783, 0.06609758, 0.899083),-1.670642,175.3285
3608348,(0.09251847, 0.06123038, 0.9014729),-1.433494,174.9913
3608368,(0.13217, 0.06220383, 0.9225044),-0.9955818,174.516
3608388,(0.1686591, 0.03665111, 0.938995),-0.673444,174.495
3608408,(0.0234324, 0.009881599, 0.9182026),-0.303243,174.5088
3608428,(-0.01451629, 0.0403015, 0.9738882),0.2865571,174.4092
3608448,(-0.01913824, 0.02472651, 1.000417),0.8618759,174.1264
3608468,(0.01613458, -0.003259797, 0.9841649),1.364869,173.7654
3608488,(0.0842476, -0.03976368, 1.051322),2.117321,173.4914
3608508,(0.04386631, -0.136864, 1.098882),2.838839,173.1975
3608528,(0.04775849, -0.139541, 1.099838),3.212183,172.6979
3608548,(0.1472522, -0.08308161, 1.025989),3.393457,172.2936
3608568,(0.1859306, -0.09963003, 1.045825),3.79297,172.0792
3608588,(0.1134389, -0.1385675, 1.099599),4.32931,171.9201
3608608,(0.07938239, -0.1500054, 1.146442),4.697403,171.7063
3608628,(0.009566535, -0.2042745, 1.148593),4.103534,171.1405
3608648,(0.06965196, -0.2536764, 1.313499),2.134356,170.6637
3608668,(0.1304672, 0.06707101, 1.007347),0.2803821,170.5881
3608688,(0.1003028, 0.05709328, 1.082869),-0.6190432,170.4211
3608708,(0.2978306, 0.1374018, 1.014995),0.1167468,170.581
3608728,(0.2340963, 0.1193932, 0.9535736),2.153124,171.2236
3608748,(0.1302239, -0.1149617, 1.195914),2.691328,171.501
3608768,(0.1448196, -0.05533867, 1.04463),2.467816,171.6351
3608788,(0.1273048, 0.01036832, 1.004479),2.437161,171.752
3608808,(0.1968774, 0.01474878, 1.005435),2.704573,171.7771
3608828,(0.2530706, 0.02083276, 0.9636114),3.194276,171.8002
3608848,(0.1304672, -0.02832579, 1.010215),3.807063,171.8364
3608868,(0.06284065, -0.0497414, 1.057775),4.031299,171.7741
3608888,(0.05043436, -0.01445432, 1.021926),3.767517,171.6252
3608908,(0.1720648, 0.004040979, 0.9442529),3.403738,171.1942
3608928,(0.2423671, 0.02521323, 0.9225044),3.107017,171.1039
3608948,(0.2173113, -0.0193215, 1.048454),3.015975,171.3246
3608968,(0.249665, -0.05898905, 0.9875108),2.660924,171.7198
3608988,(0.239448, -0.04487422, 0.9853599),2.168335,172.6457
3609008,(0.149928, -0.04876797, 0.8715987),1.400399,173.5613
3609028,(0.02951392, 0.02691674, 0.9695863),0.4829443,174.4452
3609048,(-0.005758896, 0.03762455, 1.023838),0.1256263,175.0822
3609068,(-0.04516715, -0.03465313, 1.0898),0.02736046,175.7433
